humanGene	mouseGene
HAUS7 /// TREX2	Haus7 /// LOC100048005
BIRC5	Birc5
FGA	Fga
MOSPD1	Mospd1
UBAP2	Ubap2
PET112	Pet112
JTB	Jtb
POMT1	Pomt1
ARL6IP4	Arl6ip4
PRKX	Prkx
PRKX /// PRKY	Prkx
OSGIN2	Osgin2
NUP93	Nup93
DEPDC1	Depdc1a
TMEM55A	Tmem55a
PPP4R1	Ppp4r1
GCLC	Gclc
ZNF282	Zfp282
OMA1	Oma1
DAB1 /// OMA1	Oma1
GEMIN6	Gemin6 /// Gm6253
ZNF219	Zfp219
LILRA6 /// LILRB3	Lilrb3
DEPDC7	Depdc7
TPCN2	Tpcn2
IGJ	Igj
ELOVL4	Elovl4
ARHGAP1	Arhgap1
SLC24A3	Slc24a3
MOCS2	Mocs2
CARKD	Carkd
ADIPOR1	Adipor1
NDUFS7	Ndufs7
PRPF3	Prpf3
C21orf59	1110004E09Rik
SLC25A19	Slc25a19
LGALSL	Lgalsl
ORAOV1	Oraov1
TRAF7	Traf7
RFC4	Rfc4
APEX2	Apex2
NOC2L	Noc2l
ESCO1	Esco1
LEMD2	Lemd2
ANAPC15	Anapc15
PRRG2	Prrg2
RAB40C	Rab40c
TRMT10C	Trmt10c
TSPAN17	Tspan17
PPCDC	Ppcdc
SNX15	Snx15
SLC6A13	Slc6a13
OASL	Oasl1
LRRC48	Lrrc48
FYTTD1	Fyttd1
EIF1AY	Eif1a
UBE2M	Ube2m
PPP6C	Ppp6c
MCMBP	Mcmbp
LPGAT1	Lpgat1
WFDC2	Wfdc2
CYP4A11 /// CYP4A22	Cyp4a12a
CYP4A22	Cyp4a12a
LRPPRC	Lrpprc
TMEM140	Tmem140
SIN3B	Sin3b
METRNL	Metrnl
TMEM45B	Tmem45b
UBE2E2	Ube2e2
OPLAH	Oplah
TTI2	Tti2
PPAPDC3	Ppapdc3
MYCBPAP	Mycbpap
UQCR10	Uqcr10
DOLK	Dolk
HOMER2	Homer2
PSMF1	Psmf1
MRPL32	Mrpl32
ARMCX3	Armcx3
GIMAP4	Gimap4
CDC42EP1	Cdc42ep1
RSL24D1	Rsl24d1
LDLRAP1	Ldlrap1
CA11	Car11
VPS37B	Vps37b
SUGP1	Sugp1
RCN3	Rcn3
TMEM51	Tmem51
GON4L	Gon4l
REEP2	Reep2
CLUAP1	Cluap1
NUPL1	Nupl1
NRD1	Nrd1
ADHFE1	Adhfe1
SELM	Selm
ASRGL1	Asrgl1
DHX36	Dhx36
UCK1	Uck1
ALDH1L1	Aldh1l1
RUFY3	Rufy3
C4orf19	0610040J01Rik
MBIP	Mbip
BCL2L13	Bcl2l13
CBX6	Cbx6
LIMS2	Lims2
CLDN23	Cldn23
TTC8	Ttc8
TMEM189 /// TMEM189-UBE2V1 /// UBE2V1	Tmem189
OGFRL1	Ogfrl1
SPON1	Spon1
NKIRAS2	Nkiras2
VPS36	Vps36
SLC25A38	Slc25a38
LRRC14	Lrrc14
CCPG1	Ccpg1
CCPG1 /// DYX1C1-CCPG1	Ccpg1
FLAD1	Flad1
SLC39A1	Slc39a1
MTAP	Mtap
TADA1	Tada1
INO80E	Ino80e
MTERFD2	Mterfd2
CSGALNACT2	Csgalnact2
UBTD1	Ubtd1
MSRB2	Msrb2
METTL22	Mettl22
ABCG4	Abcg4
LEPROT	Leprot
MRPS6	Mrps6
SLC27A4	Slc27a4
PJA2	Pja2
TM6SF1	Tm6sf1
C19orf12	1600014C10Rik
TM4SF5	Tm4sf5
ARMC7	Armc7
C19orf44	1700030K09Rik
TRIM6	Trim6
FRS3	Frs3
GPRC5C	Gprc5c
SLTM	Sltm
TMEM87A	Tmem87a
GPRASP1	Gprasp1
APBB3	Apbb3
KDM4C	Kdm4c
LPCAT1	Lpcat1
DCTN2	Dctn2
ERGIC2	Ergic2
CCDC58	Ccdc58
IPO9	Ipo9
PHLDB1	Phldb1
CPSF4	Cpsf4
RAPGEF3	Rapgef3
NOL6	Nol6
POLR2H	Polr2h
CAMKK2	Camkk2
TMEM184A	Tmem184a
BBS2	Bbs2
CST8	Cst8
ARMCX5	Armcx5
ARHGEF7	Arhgef7
ANGPTL3	Angptl3
PPA2	Ppa2
TRIT1	Trit1
ZNF428	Zfp428
FLYWCH2	Flywch2
CKLF	Cklf
CKLF /// CKLF-CMTM1	Cklf
IDNK	Idnk
TMEM219	Tmem219
ATL3	Atl3
UTP6	Utp6
FAM3D	Oit1
RAB22A	Rab22a
RMND1	Rmnd1
ZNF768	Zfp768
RIN1	Rin1
TTC5	Ttc5
CD177	Cd177
NUDT6	Nudt6
AURKA	Aurka
TXNDC9	Txndc9
ATP6V0A2	Atp6v0a2
RNF126	Rnf126
MTG1	Mtg1
SELRC1	Selrc1
ZFAND2B	Zfand2b
HEATR1	Heatr1
ELMO1	Elmo1
DRAM1	Dram1
GRP	Grp
TGDS	Tgds
CGREF1	Cgref1
SEC14L2	Sec14l2
TCEA3	Tcea3
YLPM1	Ylpm1
CCDC137	Ccdc137
MMD2	Mmd2
TCTN3	Tctn3
UBL4A	Ubl4
TMEM70	Tmem70
S100A4	S100a4
C16orf91	BC003965
CA10	Car10
ZGPAT	Zgpat
LIME1 /// SLC2A4RG /// ZGPAT	Zgpat
DEGS2	Degs2
ZFYVE27	Zfyve27
CASP8	Casp8
HHATL	Hhatl
PPP1R8	Ppp1r8
C1orf159	9430015G10Rik
PYCR1	Pycr1
ZCCHC9	Zcchc9
CABYR	Cabyr
RPAP2	Rpap2
PSTPIP1	Pstpip1
SLC25A4	Slc25a4
RTFDC1	Rtfdc1
POLR3D	Polr3d
TSPAN2	Tspan2
DDX46	Ddx46
H2AFY	H2afy
TMED5	Tmed5
RABL5	Rabl5
MSTO1	Msto1
MSTO1 /// MSTO2P	Msto1
ARRDC1	Arrdc1
SLC35A3	Slc35a3
STAC2	Stac2
AGK	Agk
FARP2	Farp2
RANBP10	Ranbp10
EHBP1	Ehbp1
GEMIN8	Gemin8
SRGAP3	Srgap3
RNPC3	Rnpc3
ACTG1P4 /// AMY2B /// RNPC3	Rnpc3
DDX19A /// DDX19B	Ddx19b
DDX19B	Ddx19b
CAAP1	Caap1
DNASE1	Dnase1
ECD	Ecd
SAMD4A	Samd4
F11R	F11r
LMCD1	Lmcd1
LOC100288778 /// WASH1 /// WASH2P /// WASH3P /// WASH7P	Wash
LOC100134445 /// LOC100288778 /// WASH1 /// WASH2P /// WASH3P /// WASH5P /// WASH7P	Wash
LOC100288778 /// WASH1 /// WASH2P /// WASH3P	Wash
WASH1 /// WASH2P	Wash
DDX6	Ddx6
FGL1	Fgl1
ABP1	Abp1
XRCC4	Xrcc4
SUMF1	Sumf1
PCSK5	Pcsk5
CPLX3	Cplx3
BZW2	Bzw2 /// Gm4354 /// Gm5589
XDH	Cwc22 /// Gm4354 /// Xdh
CWC22	Cwc22 /// Gm4354 /// Xdh
TRUB2	Trub2
NIPAL2	Nipal2
GPRC5B	Gprc5b
IFI35	Ifi35
HPD	Hpd
SF3B4	Sf3b4
NOP16	Nop16
KRCC1	Krcc1
HSF1	Hsf1
C16orf45	2900011O08Rik
DENND1A	Dennd1a
C11orf86	2010003K11Rik
NDUFV3	Ndufv3
BRCA1	Brca1
REV3L	Rev3l
CAMK1G	Camk1g
TCEAL1	Tceal1
CCDC47	Ccdc47
HMGCL	Hmgcl
ARL8A	Arl8a
TBCC	Tbcc
TNRC6C	Tnrc6c
UCKL1	Uckl1
GABRP	Gabrp
IFT27	Ift27
PDIA5	Pdia5
ACSF3	Acsf3
EVA1A	Eva1a
TSPAN15	Tspan15
ACP2	Acp2
USP19	Usp19
TAOK1	Taok1
SLIT2	Slit2
CRTC2	Crtc2
PMPCA	Pmpca
FAM222B	Fam222b
GPATCH8	Gpatch8
CUX1	Cux1
ZFYVE21	Zfyve21
PLEKHF1	Plekhf1
DMXL1	Dmxl1
SLC39A6	Slc39a6
SEC14L4	Sec14l4
ACTL7B	Actl7b
FAM26E	Fam26e
PSMA5	Psma5
GPN3	Gpn3
FAM134B	Fam134b
RAB5C	Rab5c
EXOSC4	Exosc4
HEATR6	Heatr6
CREB3L3	Creb3l3
CACFD1	Cacfd1
L3HYPDH	L3hypdh
ERLEC1	Erlec1
FAM210B	Fam210b
GPR89A /// GPR89B /// GPR89C /// LOC101060247 /// LOC101060636	Gpr89
GPR89B	Gpr89
DTWD1	Dtwd1
GCA	Gca
CCDC136	Ccdc136
PCDH20	Pcdh20
ATG2B	Atg2b
HEMK1	Hemk1
RUNX2	Runx2
RBMX2	Rbmx2
ZNF347	Zfp51
TMED10	Tmed10
TMED10	Gm4024 /// Tmed10
SC5D	Sc5d
GORASP2	Gorasp2
TMEM2	Tmem2
AHCTF1	Ahctf1
AHCTF1 /// AHCTF1P1	Ahctf1
CALML4	Calml4
ALDOC	Aldoc
RETSAT	Retsat
LOC100996506 /// RETSAT	Retsat
MIS12	Mis12
MGAT4B	Mgat4b
MFAP3	Mfap3
CSTF3	Cstf3
C21orf91	D16Ertd472e
TMEM150A	Tmem150a
RRP36	Rrp36
ADIG	Adig
NLE1	Nle1
TMEM192	Tmem192
TMEM192 /// ZNF320	Tmem192
P2RY14	P2ry14
SLC25A25	Slc25a25
EEF2	Eef2
AP5M1	Ap5m1
JMJD8	Jmjd8
SDS	Sds
PHYKPL	Agxt2l2
KIF1C	Kif1c
GALNT11	Galnt11
WDFY1	Wdfy1
ZBTB1	Zbtb1
ABT1	Abt1
ZNF99	Zfp71-rs1 /// Zfp738
ZNF506	Zfp71-rs1 /// Zfp738
NUDT14	Nudt14
MS4A7	Ms4a7
HIP1	Hip1
SERPINA10	Serpina10
ARRDC4	Arrdc4
SMYD2	Smyd2
FAM115C /// LOC101060689 /// LOC154761	Fam115c
FAM115C /// LOC101060689	Fam115c
C1QTNF5 /// MFRP	C1qtnf5 /// Mfrp
RSPH9	Rsph9
SEZ6L	Sez6l
EPS15L1	Eps15l1
ERCC6L	Ercc6l
CDH22	Cdh22
H2AFJ	H2afj
MVB12A	Mvb12a
EARS2	Ears2
OAS1	Oas1a
SLC25A28	Slc25a28
DCAF4	Dcaf4
REEP3	Reep3
DRAM2	Dram2
UGT1A1 /// UGT1A10 /// UGT1A4 /// UGT1A6 /// UGT1A8 /// UGT1A9	LOC100048662 /// LOC101056167 /// LOC101056381 /// Ugt1a1 /// Ugt1a10 /// Ugt1a2 /// Ugt1a5 /// Ugt1a6a /// Ugt1a6b /// Ugt1a7c /// Ugt1a9
UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	LOC100048662 /// LOC101056167 /// LOC101056381 /// Ugt1a1 /// Ugt1a10 /// Ugt1a2 /// Ugt1a5 /// Ugt1a6a /// Ugt1a6b /// Ugt1a7c /// Ugt1a9
UGT1A8	LOC100048662 /// LOC101056167 /// LOC101056381 /// Ugt1a1 /// Ugt1a10 /// Ugt1a2 /// Ugt1a5 /// Ugt1a6a /// Ugt1a6b /// Ugt1a7c /// Ugt1a9
UGT1A8 /// UGT1A9	LOC100048662 /// LOC101056167 /// LOC101056381 /// Ugt1a1 /// Ugt1a10 /// Ugt1a2 /// Ugt1a5 /// Ugt1a6a /// Ugt1a6b /// Ugt1a7c /// Ugt1a9
UGT1A1	LOC100048662 /// LOC101056167 /// LOC101056381 /// Ugt1a1 /// Ugt1a10 /// Ugt1a2 /// Ugt1a5 /// Ugt1a6a /// Ugt1a6b /// Ugt1a7c /// Ugt1a9
UGT1A6	LOC100048662 /// LOC101056167 /// LOC101056381 /// Ugt1a1 /// Ugt1a10 /// Ugt1a2 /// Ugt1a5 /// Ugt1a6a /// Ugt1a6b /// Ugt1a7c /// Ugt1a9
ANGPTL6	Angptl6
WDR45	Wdr45
KRI1	Kri1
ZSCAN22	Zscan22
SLC25A42	Slc25a42
BCAM	Bcam
RPP40	Rpp40
RNF186	Rnf186
C9orf50	1700001O22Rik
CCSAP	Ccsap
PITX2	Pitx2
GCC1	Gcc1
LUC7L3	Luc7l3
MIOS	Mios
TMEM214	Tmem214
LAMA4	Lama4
CRB3	Crb3
TASP1	Tasp1
C16orf58	BC017158
FAM149B1	Fam149b
BCL2L14	Bcl2l14
GYS2	Gys2
CECR5	Cecr5
SPEF1	Spef1
ALG12	Alg12
RIC8A	Ric8
NDFIP1	Ndfip1
SLAIN1	Slain1
MTSS1	Mtss1
CSNK1A1	Csnk1a1
FH	Fh1
TOR4A	Tor4a
CCNK	Ccnk
CPNE2	Cpne2
GSTM4	Gstm4
CLASP2	Clasp2
RNF113A	Rnf113a1
NSUN4	Nsun4
RBKS	Rbks
ARHGAP24	Arhgap24
ANGEL1	Angel1
CEP68	Cep68
NEFH	Nefh
KCNMA1	Kcnma1
WDR62	LOC100862584 /// Wdr62
MAP3K1	Map3k1
CHCHD5	Chchd5
CYP4A11	Cyp4a10 /// Cyp4a31
CYP4A11 /// CYP4A22	Cyp4a10 /// Cyp4a31
OLAH	Olah
ATP1A3	Atp1a3
TRIM34 /// TRIM6-TRIM34	Trim34a
L2HGDH	L2hgdh
HOMER3	Homer3
MIB2	Mib2
HIPK2	Hipk2
PYY	Pyy
USP43	Usp43
GLYAT	Glyat
DHRS7B	Dhrs7b
OSBPL10	Osbpl10
UBALD1	Ubald1
RNF2	Rnf2
MIR4745 /// PTBP1	Ptbp1
PTBP1	Ptbp1
SPG20	Spg20
ALAD	Alad
LRCH4	Gm20605 /// Lrch4
LRCH4 /// SAP25	Gm20605 /// Lrch4
LRCH4	Gm20605 /// Lrch4 /// Sap25
LRCH4 /// SAP25	Gm20605 /// Lrch4 /// Sap25
TRIB1	Trib1
KLHDC8A	Klhdc8a
KLHDC4	Klhdc4
KLHDC4 /// LOC100129637	Klhdc4
MARCH2	March2
NUPL2	Nupl2
BNC1	Bnc1
ZW10	Zw10
ZKSCAN5	Zkscan5
RAB13	Rab13
GPSM2	Gpsm2
GPR85	Gpr85
SLC10A1	Slc10a1
NMNAT3	Nmnat3
SLC29A4	Slc29a4
GCNT3	Gcnt3
PLXDC1	Plxdc1
KDM5D	Kdm5d
VWA8	Vwa8
SLC39A11	Slc39a11
PQLC3	Pqlc3
FARSA	Farsa
MTFMT	Mtfmt
LRRC46	Lrrc46
KIF12	Kif12
LYZL4	Lyzl4
SLC25A17	Slc25a17
KIAA1737	2310044G17Rik
ZNF764	Zfp764
WIPI1	Wipi1
TBC1D19	Tbc1d19
ERBB2	Erbb2
SLC37A3	Slc37a3
BST2	Bst2
BRD4	Brd4
GLIPR1	Glipr1
C11orf30	2210018M11Rik
FAM83F	Fam83f
EGFR	Egfr
MYO5C	Myo5c
UGT2B17	Ugt2b1
GDAP1L1	Gdap1l1
DNAH8	Dnah8
PLIN5	Plin5
STEAP1	Steap1
C14orf79	BC022687
C3orf52	BC016579
MYC	Myc
CYP4A11	Cyp4a31
CYP4A11 /// CYP4A22	Cyp4a31
MTFR1	Mtfr1
DYNC1LI1	Dync1li1
HLA-B	H2-D1 /// H2-K1 /// LOC101056305
SOX9	Sox9
BAIAP2L1	Baiap2l1
OCIAD1	Ociad1
PIP5K1C	Pip5k1c
HAUS1	Haus1
AHDC1	Ahdc1
CA8	Car8
ANXA13	Anxa13
EPN3	Epn3
TAPBPL	Tapbpl
TM4SF4	Tm4sf4
RP1	Rp1
LPXN	Lpxn
TMEM40	Tmem40
UPP2	Upp2
PURG	Purg
SPDL1	Spdl1
JDP2	Jdp2
CYP3A43	Cyp3a25
ZNF416	Zfp418
RHOV	Rhov
ODF4	Odf4
APH1A	Aph1a
NLN	Nln
CACUL1	Cacul1
SOX10	Sox10
FBXW7	Fbxw7
MYLIP	Mylip
ORAI1	Orai1
TYMS	Tyms /// Tyms-ps
TPRKB	Tprkb
MSANTD4	Msantd4
GLYCTK	Glyctk
CFLAR	Cflar
SFSWAP	Sfswap
PROSER2	Proser2
SECTM1	Sectm1a
UROC1	Uroc1
KLRC1 /// KLRC2	Klrc1
VRK1	Vrk1
ZNF566	Zfp566
STX18	Stx18
NR2C2	Nr2c2
EPHB2	Ephb2
PCDHA1 /// PCDHA10 /// PCDHA11 /// PCDHA12 /// PCDHA13 /// PCDHA2 /// PCDHA3 /// PCDHA4 /// PCDHA5 /// PCDHA6 /// PCDHA7 /// PCDHA8 /// PCDHA9 /// PCDHAC1 /// PCDHAC2	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha4 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
PCDHAC2	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha4 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
PCDHAC1	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha4 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
PCDHA2	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha4 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
MCTS1	Mcts1
UBXN2A	Ubxn2a
PEX16	Pex16
USP3	Usp3
TMEM106A	Tmem106a
SFT2D2	Sft2d2
MBOAT2	Mboat2
ZNF622	Zfp622
FKTN	Fktn
SLC17A2	Slc17a2
DNMT3L	Dnmt3l
TNRC6A	Tnrc6a
FGD4	Fgd4
SLC22A24	Slc22a19
ITGBL1	Itgbl1
CYBRD1	Cybrd1
PELP1	Pelp1
JMJD7 /// JMJD7-PLA2G4B /// PLA2G4B	Jmjd7 /// Pla2g4b
CNBD2	Cnbd2
HMGB1	Gm12568 /// Gm21596 /// Gm6115 /// Hmgb1 /// LOC637733
ISOC1	Isoc1
PPP6R2	Ppp6r2
PBLD	Pbld1
PRMT6	Prmt6
CLIP1	Clip1
WASF3	Wasf3
FCRL1	Fcrl1
OAS2	Oas2
MTMR14	Mtmr14
CELSR3	Celsr3
TEX264	Tex264
CYP2D6	Cyp2d34
PLEKHG6	Plekhg6
WRN	Wrn
GATAD2B	Gatad2b
DNAJC18	Dnajc18
TM6SF2	Tm6sf2
ZNF286A	Zfp286
TBC1D26 /// ZNF286A	Zfp286
ZNF286A /// ZNF286B	Zfp286
PDS5A	Pds5a
OTOR	Otor
GIMAP7	Gimap7
HYPK	Hypk
HYPK /// MIR1282 /// SERF2	Hypk
HYPK /// MIR1282 /// SERF2 /// SERF2-C15ORF63	Hypk
SCNN1A	Scnn1a
KCNC4	Kcnc4
RARRES2	Rarres2
CDH10	Cdh10
P2RX3	P2rx3
ZNF106	Zfp106
ARNTL	Arntl
PDE6G	Pde6g
FKBP6	Fkbp6
ACE2	Ace2
RBP3	Rbp3
LIFR	Lifr
SMAGP	Smagp
SLC44A3	Slc44a3
SORCS3	Sorcs3
ANKRD27	Ankrd27
RBBP6	Rbbp6
SPTBN4	Sptbn4
ASPDH	Aspdh
SPIRE2	Spire2
FAM3B	Fam3b
KLHL36	Klhl36
RNF183	Rnf183
OIT3	Oit3
HSD3B1	Hsd3b2
B3GNT8	B3gnt8
TALDO1	Taldo1
NETO1	Neto1
PIGX	Pigx
HLA-A	H2-Q10
GUCA1B	Guca1b
SESN2	Sesn2
LACTB2	Lactb2
HNRNPD	Hnrnpd
NDUFS1	Ndufs1
KLK3	Klk1b11
SNX6	Snx6
NOXO1	Noxo1
SERPINI2	Serpini2
MYH2	Myh2
CSF1	Csf1
TSPAN33	Tspan33
GOLT1A	Golt1a
TRABD	Trabd
RORB	Rorb
C6orf132	AI661453
GNGT1	Gngt1
RHO	Rho
GOLPH3L	Golph3l
SGIP1	Sgip1
KLK3	Klk1b22 /// Klk1b9
RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C	Rpl4
SKA1	Ska1
DESI2	Desi2
LMBRD1	Lmbrd1
SEL1L	Sel1l
MRPL15	Mrpl15
KLHL23 /// PHOSPHO2 /// PHOSPHO2-KLHL23	Phospho2
PHOSPHO2	Phospho2
OCEL1	Ocel1
KLHL25	Klhl25
SPPL2A	Sppl2a
SFR1	Sfr1
HINT2	Hint2
EPB41L5	Epb4.1l5
CLCC1	Clcc1
ANK3	Ank3
DDX19A /// DDX19B	Ddx19a /// Ddx19b
DDX19A	Ddx19a /// Ddx19b
DDX19B	Ddx19a /// Ddx19b
LBH	Lbh
ZNF565	Zfp84
GATC /// SRSF9	Gatc
GATC	Gatc
FAM81A	Fam81a
P2RY6	P2ry6
FFAR2	Ffar2
SYNJ2	Synj2
SCGB3A2	Scgb3a2
AGR3	Agr3
SLC22A9	Slc22a29
SLMO1	Slmo1
FCGR3A /// FCGR3B	Fcgr4
DGUOK	Dguok
TCF7L2	Tcf7l2
NAGS	Nags
ARR3	Arr3
COL20A1	Col20a1
SETD4	Setd4
WSB1	Wsb1
TMEM258	Tmem258
CD207	Cd207
THEG	Theg
RGS11	Rgs11
TYRO3	Tyro3
SLC14A2	Slc14a2
PTGER3	Ptger3
MAD1L1	Mad1l1
MADCAM1	Madcam1
FOXN4	Foxn4
HNRNPLL	Hnrpll
DIXDC1	Dixdc1
CST11	Cst11
ALB	Alb
CEBPG	Cebpg
ERI3	Eri3
RAP1GDS1	Rap1gds1
PEAR1	Pear1
APBB1IP	Apbb1ip
PSMC3IP	Psmc3ip
EMP2	Emp2
FBRS	Fbrs
ARHGAP19 /// SLIT1	Slit1
UBE4A	Ube4a
PDIK1L	Pdik1l
LENG1	Leng1
RNF144B	Rnf144b
MTL5	Mtl5
RAB27A	Rab27a
CRYGN	Crygn
ZNF189	Zfp189
SAMD11	Samd11
CR2	Cr2
STX19	Stx19
FOXJ1	Foxj1
ZCCHC18	Zcchc18
SLAMF8	Slamf8
RNASE2	Ear11
RGS3	Rgs3
LOC101060527 /// NAIP	Naip1
TRMT112	Trmt112
DAK	Dak
MFSD6L	Mfsd6l
PRIMA1	Prima1
ZBTB21	Zbtb21
C2orf71	BC027072
DNAH1	Dnah1
TRIM31	Trim31
CATSPER2	Catsper2
CATSPER2 /// CATSPER2P1	Catsper2
COL26A1	Col26a1
CARF	Carf
DOCK7	Dock7
B3GAT1	B3gat1
STK31	Stk31
TMEM116	Tmem116
ZNF605	Zfp605
CLMN	Clmn
FAM173A	Fam173a
ACLY	Acly
FAM76A	Fam76a
PPM1B	Ppm1b
RAB43	Rab43
ISY1-RAB43 /// RAB43	Rab43
GORASP1	Gorasp1
CD8A	Cd8a
HLA-B	H2-K1
SLC12A5	Slc12a5
PLCB4	Plcb4
PTPRA	Ptpra
KCNK3	Kcnk3
HDHD3	Hdhd3
NARF	Narf
CCDC28A	Ccdc28a
MYEF2	Myef2
RCOR3	Rcor3
ENPP3	Enpp3
AGGF1	Aggf1
ACSF2	Acsf2
ZNF142	Zfp142
GREM1	Grem1
MALL	Mall
MLLT6	Mllt6
ZNF397	Zfp397
AGFG2	Agfg2
SLC3A2	Slc3a2
ITGAL	Itgal
ERG	Erg
POLB	Polb
PSMG2	LOC101056547 /// Psmg2
OAS3	Oas3
ALOX15B	Alox8
WNT1	Wnt1
HERC1	Herc1
HGF	Hgf
RASGRP4	Rasgrp4
TFR2	Tfr2
AQP4	Aqp4
PBX1	Pbx1
TPK1	Tpk1
OSBPL5	Osbpl5
NR1I3	Nr1i3
MAP2K7	Map2k7
LCK	Lck
HIST1H2BL	Hist1h2bf /// Hist1h2bj /// Hist1h2bl /// Hist1h2bn /// Hist1h2bq /// Hist1h2br
HIST1H2BN	Hist1h2bf /// Hist1h2bj /// Hist1h2bl /// Hist1h2bn /// Hist1h2bq /// Hist1h2br
FLVCR1	Mfsd7b
CITED4	Cited4
THOP1	Thop1
DNM3	Dnm3
MUSTN1 /// TMEM110 /// TMEM110-MUSTN1	Tmem110
TMEM110	Tmem110
ADAR	Adar
CLEC4A	Clec4a2 /// Clec4b1
CHRNA2	Chrna2
ARL4A	Arl4a
NLRP3	Nlrp3
RFX3	Rfx3
PPP1R16B	Ppp1r16b
SLC1A1	Slc1a1
WFDC5	Wfdc5
PARN	Parn
GLIS1	Glis1
WIF1	Wif1
OPRM1	Oprm1
KCNK7	Kcnk7
SLC41A3	Slc41a3
OSCAR	Oscar
TFAP2D	Tfap2d
CLDN18	Cldn18
DKK4	Dkk4
FAM84A	Fam84a
FAM84A /// LOC653602	Fam84a
IL12A	Il12a
CHURC1	Churc1
LOC100996792 /// MAP2K3	Map2k3
GRB10	Grb10
MTMR2	Mtmr2
FBXW11	Fbxw11
GATA6	Gata6
SENP2	Senp2
PLP1	Plp1
MED17	Med17
VPS39	Vps39
COL4A5	Col4a5
HLA-DQB1 /// LOC101060835	H2-Ab1
HLA-DQB1	H2-Ab1
SMYD5	Smyd5
CNOT6L	Cnot6l
ANKMY2	Ankmy2
TOX	Tox
MTMR6	Mtmr6
WDR13	Wdr13
BMPR1A	Bmpr1a
ZFP62	Zfp62
ABCA3	Abca3
PRPF4B	Prpf4b
MYLK	Mylk
ARFRP1	Arfrp1
PIK3R1	Pik3r1
OGT	Ogt
CD74	Cd74
PAIP1	Paip1
RBM25	Rbm25
P2RX4	P2rx4
PRRX1	Prrx1
WBP1L	Wbp1l
STX3	Stx3
ZNHIT1	Znhit1
STAU2	Stau2
REPIN1	Repin1
PLEKHA5	Plekha5
HLA-B	H2-D1 /// H2-L
SRPRB	Srprb /// Trf
TF	Srprb /// Trf
PRKAR1A	Prkar1a
HIP1R	Hip1r
CDC16	Cdc16
CDK12	Cdk12
KLC3	Klc3
ACSM3	Acsm3
S100A16	S100a16
TRNT1	Trnt1
REST	Rest
ANXA5	Anxa5
TMEM33	Tmem33
SLAMF1	Slamf1
ASAP1	Asap1
EPHA3	Epha3
AHCYL1	Ahcyl1
ZMYM5	Zmym5
PIK3C3	Pik3c3
GALNT7	Galnt7
EMCN	Emcn
MED12	Med12
MLPH	Mlph
PTPRJ	Ptprj
AIPL1	Aipl1
CHMP2A	Chmp2a
TNPO2	Tnpo2
LAMC3	Lamc3
KIAA1919	AI317395
LYN	Gm11787 /// Lyn
GATAD1	Gatad1
RTKN	Rtkn
RABEP2	Rabep2
LMBR1	Lmbr1
SLC5A8	Slc5a8
HLCS	Hlcs
DUSP3	Dusp3
NCF1 /// NCF1B /// NCF1C	Ncf1
GALNT2	Galnt2
HLA-B	H2-D1
PCK2	Pck2
CCDC23	Ccdc23
DHX9	Dhx9
DSG2	Dsg2
TGFBR3	Tgfbr3
TRIM35	Trim35
EDIL3	Edil3
EPM2AIP1	Epm2aip1
IL13RA1	Il13ra1
GTF2I	Gtf2i
GTF2I /// GTF2IP1 /// LOC100093631	Gtf2i
PPP1R3C	Ppp1r3c
PQLC2	Pqlc2
HHAT	Hhat
ADAP2	Adap2
CEP290	Cep290
LEPR	Lepr
NMRK1	Nmrk1
SLC39A14	Slc39a14
TLE4	Tle4
NHEJ1 /// SLC23A3	Nhej1
RBPMS	Rbpms
ATF7	Atf7
BAIAP2	Baiap2
CD109	Cd109
TOM1L2	Tom1l2
BTBD3	Btbd3
CDADC1	Cdadc1
KLHL20	Klhl20
ZIC5	Zic5
ACOT11	Acot11
ST3GAL4	St3gal4
MOB3B	Mob3b
RFXANK	Rfxank
LPP	Lpp
SSU72	Ssu72
ELOVL1	Elovl1
SNRK	Snrk
LOC101060620 /// MAPK8IP1	Mapk8ip1
LOC101060620 /// LOC644172 /// MAPK8IP1	Mapk8ip1
PRND	Prnd
DPYS	Dpys
BRAF	Braf
TBX5	Tbx5
NXNL1	LOC100047468 /// Nxnl1
NEMF	Nemf
CREBZF	Crebzf
ABHD14A	Abhd14a
GRM1	Grm1
ENPP5	Enpp5
PPARD	Ppard
DHRS11	Dhrs11
ERO1LB	Ero1lb
DDB2	Ddb2
RNF17	Rnf17
NFAM1	Nfam1
IL36B	Il1f8
LRBA	Lrba
